Replicate	Aphid_line	Parasitoid_line	Block	Latitude_wasp	Longitude_wasp	Wasp_host_species	Hamiltonella_host_species	Nymphs_corrected	Dead_wasp	Mummies_amount	Hatching_wasps
6	TR-0191	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_ruborum	10	no	1	1
2	TR-0214	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_hederae	10	no	0	0
3	TR-0214	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_hederae	10	no	0	0
4	TR-0214	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_hederae	10	no	0	0
5	TR-0214	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_hederae	10	no	0	0
6	TR-0214	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_hederae	10	no	0	0
2	TR-0244	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_hederae	10	no	0	0
3	TR-0244	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_hederae	10	no	0	0
4	TR-0244	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_hederae	10	no	0	0
5	TR-0244	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_hederae	10	no	0	0
6	TR-0244	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_hederae	10	no	0	0
2	TR-0619	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_ruborum	10	no	3	2
3	TR-0619	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_ruborum	10	no	4	4
4	TR-0619	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_ruborum	10	no	2	2
5	TR-0619	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_ruborum	10	no	4	4
6	TR-0619	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_ruborum	10	no	4	3
1	TR-0016	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_urticata	10	no	7	7
1	TR-0042	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_fabae_fabae	10	no	0	0
1	TR-0076	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_fabae_fabae	10	no	0	0
1	TR-0103	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_urticata	9	no	7	5
1	TR-0131	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_urticata	9	no	0	0
1	TR-0191	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_ruborum	10	no	0	0
1	TR-0214	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_hederae	10	no	0	0
1	TR-0244	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_hederae	8	no	0	0
1	TR-0619	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_ruborum	10	no	6	5
1	NTR-407	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	none	10	no	8	6
2	NTR-407	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	none	10	yes	1	0
3	NTR-407	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	none	10	no	1	1
4	NTR-407	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	none	10	no	3	3
5	NTR-407	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	none	10	no	7	7
6	NTR-407	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	none	10	no	6	4
2	TR-0016	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_urticata	8	no	3	2
3	TR-0016	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_urticata	9	no	6	5
4	TR-0016	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_urticata	11	no	8	6
5	TR-0016	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_urticata	10	no	4	2
6	TR-0016	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_urticata	10	no	6	6
2	TR-0042	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_fabae_fabae	10	yes	3	2
3	TR-0042	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_fabae_fabae	11	no	4	4
4	TR-0042	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_fabae_fabae	9	yes	6	3
5	TR-0042	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_fabae_fabae	7	no	0	0
6	TR-0042	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_fabae_fabae	8	no	0	0
2	TR-0076	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_fabae_fabae	10	no	0	0
3	TR-0076	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_fabae_fabae	10	no	0	0
4	TR-0076	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_fabae_fabae	10	yes	0	0
5	TR-0076	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_fabae_fabae	10	no	0	0
6	TR-0076	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_fabae_fabae	10	no	0	0
2	TR-0103	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_urticata	8	no	5	5
3	TR-0103	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_urticata	10	no	10	8
4	TR-0103	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_urticata	10	no	0	0
5	TR-0103	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_urticata	8	yes	5	1
6	TR-0103	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_urticata	10	no	3	3
2	TR-0131	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_urticata	10	no	5	4
3	TR-0131	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_urticata	9	no	5	3
4	TR-0131	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_urticata	9	no	6	4
5	TR-0131	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_urticata	10	no	0	0
6	TR-0131	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_urticata	9	no	0	0
2	TR-0191	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_ruborum	10	no	4	3
3	TR-0191	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_ruborum	9	no	2	2
4	TR-0191	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_ruborum	10	no	2	1
5	TR-0191	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_ruborum	9	no	8	6
6	TR-0191	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_ruborum	10	no	0	0
2	TR-0214	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_hederae	10	no	0	0
3	TR-0214	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_hederae	10	no	0	0
4	TR-0214	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_hederae	10	no	4	3
5	TR-0214	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_hederae	10	no	4	2
6	TR-0214	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_hederae	10	no	6	5
2	TR-0244	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_hederae	10	no	0	0
3	TR-0244	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_hederae	10	yes	0	0
4	TR-0244	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_hederae	10	no	0	0
5	TR-0244	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_hederae	10	no	0	0
6	TR-0244	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_hederae	10	no	1	0
2	TR-0619	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_ruborum	10	no	8	8
3	TR-0619	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_ruborum	10	no	5	4
4	TR-0619	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_ruborum	10	yes	6	2
5	TR-0619	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_ruborum	10	no	0	0
6	TR-0619	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_ruborum	10	yes	0	0
1	TR-0016	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_urticata	10	no	5	5
1	TR-0042	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_fabae_fabae	10	no	0	0
1	TR-0076	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_fabae_fabae	10	yes	0	0
1	TR-0103	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_urticata	8	no	1	0
1	TR-0131	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_urticata	10	no	4	3
1	TR-0191	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_ruborum	10	no	4	4
1	TR-0214	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_hederae	10	no	9	8
1	TR-0244	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_hederae	10	no	0	0
1	TR-0619	G339	6	47,30356587	8,7536656	Aphis_fabae_fabae	Aphis_ruborum	10	no	2	2
1	NTR-407	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	none	10	no	5	5
2	NTR-407	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	none	10	no	7	7
3	NTR-407	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	none	8	no	4	4
4	NTR-407	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	none	10	no	10	9
5	NTR-407	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	none	10	no	10	8
6	NTR-407	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	none	10	no	5	4
2	TR-0016	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_urticata	8	no	4	2
3	TR-0016	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_urticata	8	no	3	3
4	TR-0016	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_urticata	11	no	4	4
5	TR-0016	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_urticata	10	no	5	3
6	TR-0016	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_urticata	11	no	8	5
2	TR-0042	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_fabae_fabae	10	no	0	0
3	TR-0042	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_fabae_fabae	11	no	1	1
4	TR-0042	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_fabae_fabae	8	no	1	0
5	TR-0042	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_fabae_fabae	8	no	0	0
6	TR-0042	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_fabae_fabae	10	no	0	0
2	TR-0076	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_fabae_fabae	10	no	2	1
3	TR-0076	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_fabae_fabae	10	no	2	1
4	TR-0076	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_fabae_fabae	10	no	2	2
5	TR-0076	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_fabae_fabae	10	no	5	4
6	TR-0076	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_fabae_fabae	10	no	2	0
2	TR-0103	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_urticata	8	no	4	3
3	TR-0103	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_urticata	10	no	9	9
4	TR-0103	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_urticata	10	no	7	7
5	TR-0103	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_urticata	11	no	8	7
6	TR-0103	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_urticata	8	no	4	3
2	TR-0131	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_urticata	10	no	4	3
3	TR-0131	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_urticata	10	no	9	7
4	TR-0131	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_urticata	10	no	4	3
5	TR-0131	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_urticata	10	no	5	3
6	TR-0131	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_urticata	10	no	0	0
2	TR-0191	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_ruborum	10	no	8	8
3	TR-0191	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_ruborum	10	yes	1	1
4	TR-0191	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_ruborum	9	no	5	3
5	TR-0191	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_ruborum	10	no	9	8
6	TR-0191	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_ruborum	8	no	2	1
2	TR-0214	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_hederae	10	no	1	1
3	TR-0214	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_hederae	10	no	0	0
4	TR-0214	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_hederae	10	no	1	1
5	TR-0214	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_hederae	10	no	0	0
6	TR-0214	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_hederae	9	no	0	0
2	TR-0244	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_hederae	9	no	0	0
3	TR-0244	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_hederae	10	no	2	2
4	TR-0244	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_hederae	10	no	0	0
5	TR-0244	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_hederae	10	no	1	0
6	TR-0244	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_hederae	10	no	0	0
2	TR-0619	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_ruborum	10	no	4	2
3	TR-0619	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_ruborum	10	no	4	3
4	TR-0619	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_ruborum	10	no	4	3
5	TR-0619	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_ruborum	10	no	7	7
6	TR-0619	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_ruborum	10	no	7	6
1	TR-0016	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_urticata	10	no	0	0
1	TR-0042	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_fabae_fabae	10	no	0	0
1	TR-0076	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_fabae_fabae	10	no	3	2
1	TR-0103	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_urticata	8	no	3	2
1	TR-0131	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_urticata	10	no	5	5
1	TR-0191	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_ruborum	10	no	4	3
1	TR-0214	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_hederae	10	no	1	0
1	TR-0244	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_hederae	10	no	2	2
1	TR-0619	G363	6	47,30276081	8,75474511	Aphis_fabae_fabae	Aphis_ruborum	10	no	8	5
1	NTR-407	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	none	10	no	0	0
2	NTR-407	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	none	10	no	5	4
3	NTR-407	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	none	10	no	8	8
4	NTR-407	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	none	10	no	4	3
5	NTR-407	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	none	10	no	9	9
6	NTR-407	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	none	10	no	6	5
2	TR-0016	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_urticata	8	no	6	5
3	TR-0016	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_urticata	9	no	9	9
4	TR-0016	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_urticata	9	no	4	4
5	TR-0016	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_urticata	10	no	3	3
6	TR-0016	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_urticata	10	no	5	4
2	TR-0042	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_fabae_fabae	10	no	2	0
3	TR-0042	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_fabae_fabae	10	no	5	3
4	TR-0042	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_fabae_fabae	10	no	4	2
5	TR-0042	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_fabae_fabae	8	no	7	7
6	TR-0042	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_fabae_fabae	10	no	4	3
2	TR-0076	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_fabae_fabae	10	no	0	0
3	TR-0076	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_fabae_fabae	10	no	0	0
4	TR-0076	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_fabae_fabae	10	no	0	0
5	TR-0076	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_fabae_fabae	10	yes	0	0
6	TR-0076	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_fabae_fabae	10	no	0	0
2	TR-0103	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_urticata	8	no	2	1
3	TR-0103	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_urticata	10	no	5	2
4	TR-0103	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_urticata	10	no	6	6
5	TR-0103	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_urticata	11	no	5	4
6	TR-0103	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_urticata	10	no	10	6
2	TR-0131	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_urticata	10	no	4	3
3	TR-0131	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_urticata	10	yes	0	0
4	TR-0131	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_urticata	10	no	3	1
5	TR-0131	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_urticata	10	no	5	5
6	TR-0131	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_urticata	10	no	3	3
2	TR-0191	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_ruborum	10	no	4	3
3	TR-0191	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_ruborum	10	no	1	1
4	TR-0191	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_ruborum	10	no	7	4
5	TR-0191	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_ruborum	10	no	7	4
6	TR-0191	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_ruborum	10	no	6	5
2	TR-0214	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_hederae	10	no	0	0
3	TR-0214	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_hederae	10	no	0	0
4	TR-0214	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_hederae	10	no	0	0
5	TR-0214	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_hederae	10	no	0	0
6	TR-0214	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_hederae	10	no	0	0
1	TR-0016	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_urticata	10	no	9	8
2	TR-0244	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_hederae	9	no	0	0
3	TR-0244	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_hederae	10	no	0	0
4	TR-0244	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_hederae	10	no	0	0
5	TR-0244	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_hederae	10	no	0	0
6	TR-0244	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_hederae	10	no	0	0
2	TR-0619	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_ruborum	10	no	1	1
3	TR-0619	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_ruborum	10	no	0	0
4	TR-0619	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_ruborum	10	no	3	3
5	TR-0619	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_ruborum	10	no	0	0
6	TR-0619	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_ruborum	10	no	10	8
1	TR-0042	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_fabae_fabae	10	no	6	5
1	TR-0076	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_fabae_fabae	10	yes	0	0
1	TR-0103	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_urticata	8	no	5	5
1	TR-0131	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_urticata	10	no	4	4
1	TR-0191	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_ruborum	10	no	6	5
1	TR-0214	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_hederae	10	no	0	0
1	TR-0244	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_hederae	10	no	0	0
1	TR-0619	G392	6	47,30363419	8,75381684	Aphis_fabae_fabae	Aphis_ruborum	10	no	4	1
1	NTR-407	S251	6	47,48780249	8,461076913	Aphis_fabae_fabae	none	10	no	10	10
1	TR-0016	S251	6	47,48780249	8,461076913	Aphis_fabae_fabae	Aphis_urticata	9	no	0	0
2	NTR-407	S251	6	47,48780249	8,461076913	Aphis_fabae_fabae	none	10	no	4	3
3	NTR-407	S251	6	47,48780249	8,461076913	Aphis_fabae_fabae	none	10	no	2	2
4	NTR-407	S251	6	47,48780249	8,461076913	Aphis_fabae_fabae	none	10	no	2	1
5	NTR-407	S251	6	47,48780249	8,461076913	Aphis_fabae_fabae	none	10	no	2	0
6	NTR-407	S251	6	47,48780249	8,461076913	Aphis_fabae_fabae	none	10	no	4	4
2	TR-0016	S251	6	47,48780249	8,461076913	Aphis_fabae_fabae	Aphis_urticata	8	no	1	1
3	TR-0016	S251	6	47,48780249	8,461076913	Aphis_fabae_fabae	Aphis_urticata	9	no	1	0
4	TR-0016	S251	6	47,48780249	8,461076913	Aphis_fabae_fabae	Aphis_urticata	11	no	6	0
